Address                                                              , Parcel No   , Permit No   , Permit Type  , Bldg Permit Subtype      , Work Description                                                                                                                                                                                                                                                                                                                                                                                                              , Valuation     , Permit Status, Application Date, Issue Date, Expire Date, Final Date, Contractor
"10527 Key West Street, Temple City, California 91780"               , 8585-023-024, E25-48203   , Electrical   ,                          , "ADDITION & REMODEL: (1) TEMPORARY POWER POLE, (39) BRANCH CIRCUITS 120V, 15 OR 20A, (3) BRANCH CIRCUITS LIGHTING, (32) OUTLETS- LIGHTING, RECEPTACLES, SWITCHES, (51) LIGHTING FIXTURES, (1) FAU, (1) GARBAGE DISPOSAL, (1) DISHWASHER, (1)RANGE HOOD, (1) WASHING MACHINE, (4) EXHAUST FANS, (1) AC UNIT"                                                                                                                   , $0            , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , 
"10527 Key West Street, Temple City, California 91780"               , 8585-023-024, M25-48204   , Mechanical   ,                          , "ADDITION & REMODEL: (1) FURNACE/HEATER, (12) AIR INLETS/OUTLETS, (1) APPLIANCE VENT, (4) VENT FANS"                                                                                                                                                                                                                                                                                                                          , $0            , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , 
"5327 Barela Avenue, Temple City, California 91780"                  , 8589-002-007, P25-48197   , Plumbing     , RR Residential Alteration, GAS LINE SERVICE REPAIR                                                                                                                                                                                                                                                                                                                                                                                                       , $0            , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , 
"10527 Key West Street, Temple City, California 91780"               , 8585-023-024, P25-48205   , Plumbing     ,                          , "ADDITION & REMODEL: (1) BACKWATER VALVE, (3) BATHTUBS/SHOWERS, (1) CLOTHESWASHER, (1) DISHWASHER, (2) HOSE BIBBS, (4) SINKS, (3) WATER CLOSETS, (1) WATER HEATER, (1) LOW PRESSURE GAS SYSTEM"                                                                                                                                                                                                                               , $0            , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , 
"4913 Persimmon Avenue Unit B , Temple City, California 91780"       , 8574-025-024, B24-46095   , Building     , NR New Residential       , "CONVERT EXISTING 560 SQ.FT. DETACHED GARAGE AND ADD 280 SQ.FT. INTO 840 SQ.FT. ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS KITCHEN/LIVING ROOM "                                                                                                                                                                                                                                                                    , "$110,000 "   , Issued       , 1/30/2024       , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"5932 Rosemead Boulevard, Temple City, California 91780"             , 5384-016-013, B25-48206   , Building     , RR Residential Alteration, "REPAIR FIRE DAMAGE IN BEDROOM #1. REMOVE AND REPLACE (2) WINDOWS, DRYWALL AND INSULATION "                                                                                                                                                                                                                                                                                                                                   , "$10,000 "    , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Joseph La Muth
"6269 Rosemead Boulevard, Temple City, California 91780"             , 5384-003-023, B25-48208   , Building     , SI Sign                  , "(2) ILLUMINATED INDIVIDUAL CHANNEL LETTER WALL SIGN TO READ: ""ROBAM"" "                                                                                                                                                                                                                                                                                                                                                     , "$5,200 "     , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Martinez Electric
"5821 Reno Avenue, Temple City, California 91780"                    , 5387-010-015, B25-48213   , Building     , RR Residential Alteration, "KITCHEN REMODEL OPEN WALL FOR KITCHEN, CLOSE OPENING FOR WASHER. BATHROOM REMODEL, ENLARGE CLOSET IN BEDROOM. RETROFIT (2) WINDOWS "                                                                                                                                                                                                                                                                                         , "$20,000 "    , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"5531 Ryland Avenue, Temple City, California 91780"                  , 8586-018-021, B25-48219   , Building     , RR Residential Alteration, "TEAR OFF ON THE EXISTING STRUCTURE. INSTALL RADIANT BARRIER, OWEN CORNING NIGHT SKY COLOR SHINGLES CRRC # 0890-0026 TOTAL AREA 1894 SQ.FT. MAIN HOUSE "                                                                                                                                                                                                                                                                      , "$15,000 "    , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Chong Wing Cheng
"5531 Ryland Avenue, Temple City, California 91780"                  , 8586-018-021, B25-48220   , Building     , OT Other                 , "TEAR OFF ON THE EXISTING STRUCTURE. INSTALL RADIANT BARRIER, OWEN CORNING NIGHT SKY COLOR SHINGLES CRRC # 0890-0026 TOTAL AREA 550 SQ.FT. DETACHED GARAGE "                                                                                                                                                                                                                                                                  , "$5,000 "     , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Chong Wing Cheng
"9075 Longden Avenue, Temple City, California 91780"                 , 5382-021-033, B25-48221   , Building     , RR Residential Alteration, RE-ROOF WITH TEAR OFF HOUSE 17 SQ.FT. REPLACE SHEATHING AS NEEDED. INSTALL NEW SYNTHETIC UNDERLAYMENT AND NEW COOL ROOF SHINGLES. INSTALL NEW TORCH DOWN MEMBRANE ON LOW SLOPE ROOF AREA                                                                                                                                                                                                                                      , "$5,950 "     , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Ruano Construction Inc. dba SoCal Roofing Solutions
"9075 Longden Avenue, Temple City, California 91780"                 , 5382-021-033, B25-48222   , Building     , OT Other                 , RE-ROOF WITH TEAR OFF DETACHED GARAGE  7 SQ.FT. REPLACE SHEATHING AS NEEDED. INSTALL NEW SYNTHETIC UNDERLAYMENT AND NEW COOL ROOF SHINGLES. INSTALL NEW TORCH DOWN MEMBRANE ON LOW SLOPE ROOF AREA                                                                                                                                                                                                                            , "$2,450 "     , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Ruano Construction Inc. dba SoCal Roofing Solutions
"4913 Persimmon Avenue Unit B , Temple City, California 91780"       , 8574-025-024, E24-48151   , Electrical   ,                          , "(10) OUTLETS, (6) LIGHT FIXTURES, ELECTRIC OVEN, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FANS, ELECTRIC WATER HEATER, AC UNIT WITH 100 AMP SERVICE PANEL FOR A DETACHED ACCESSORY DWELLING UNIT "                                                                                                                                                                                                 , $0            , Issued       , 12/19/2024      , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"10124 Landseer Street, Temple City, California 91780"               , 8585-003-031, E25-48207   , Electrical   ,                          , UPGRADE ELECTRICAL SERVICE PANEL TO 200 AMP                                                                                                                                                                                                                                                                                                                                                                                   , $0            , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Mendieta Electric
"6269 Rosemead Boulevard, Temple City, California 91780"             , 5384-003-023, E25-48209   , Electrical   ,                          , "(2) ILLUMINATED INDIVIDUAL CHANNEL LETTER WALL SIGN TO READ: ""ROBAM"" "                                                                                                                                                                                                                                                                                                                                                     , $0            , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Martinez Electric
"5821 Reno Avenue, Temple City, California 91780"                    , 5387-010-015, E25-48214   , Electrical   ,                          , "(19) OUTLETS, (12) RECESSED LIGHTS, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FAN (3) AC UNITS "                                                                                                                                                                                                                                                                                                    , $0            , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"4913 Persimmon Avenue Unit B , Temple City, California 91780"       , 8574-025-024, M24-48152   , Mechanical   ,                          , "INSTALL HVAC SYSTEM, AIR INLETS AND VENTILATION FANS FOR A DETACHED ACCESSORY DWELLING UNIT "                                                                                                                                                                                                                                                                                                                                , $0            , Issued       , 12/19/2024      , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"5821 Reno Avenue, Temple City, California 91780"                    , 5387-010-015, M25-48215   , Mechanical   ,                          , "INSTALL (3) MINI SPLIT SYSTEMS, AND (2) VENTILATION FANS "                                                                                                                                                                                                                                                                                                                                                                   , $0            , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"4913 Persimmon Avenue Unit B , Temple City, California 91780"       , 8574-025-024, P24-48153   , Plumbing     ,                          , "SHOWERS, CLOTHES WASHER, DISHWASHER, LAVATORIE, SINK, HOSE BIBB, WATER CLOSETS, WATER HEATER, GAS OUTLETS, WATER MAIN AND CONNECT DETACHED ACCESSORY DWELLING UNIT TO PUBLIC SEWER "                                                                                                                                                                                                                                         , $0            , Issued       , 12/19/2024      , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"5821 Reno Avenue, Temple City, California 91780"                    , 5387-010-015, P25-48216   , Plumbing     ,                          , "BATHTUB/SHOWER, DISHWASHER, DISHWASHER, LAVATORY, SINK AND WATER CLOSET "                                                                                                                                                                                                                                                                                                                                                    , $0            , Issued       , 1/6/2025        , 1/6/2025  , 1/6/2026   ,           , Owner-Builder
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, B24-46906   , Building     , NR New Residential       , "NEW 2-STORY SINGLE FAMILY DWELLING: 5 BEDROOMS, 5 BATHROOMS, 2ND FLOOR: LOFT, BALCONY AND FRONT PORCH"                                                                                                                                                                                                                                                                                                                       , "$800,000 "   , Issued       , 6/13/2024       , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, B24-46907   , Building     , OT Other                 , BUILD NEW DETACHED 3-CAR GARAGE                                                                                                                                                                                                                                                                                                                                                                                               , "$50,000 "    , Issued       , 6/13/2024       , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"5609 Robinhood Avenue, Temple City, California 91780"               , 8586-021-025, B25-48229   , Building     , RR Residential Alteration, TEAR OFF EXISTING ROOF OVER HOUSE & ATTACHED GARAGE. INSTALL PLYWOOD ROOF WITH COOL ROOF FIBERGLASS SHINGLES 21 SQ.FT.                                                                                                                                                                                                                                                                                                        , "$17,000 "    , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Campagna Roofing
"8641 Garibaldi Avenue, San Gabriel, California 91775"               , 5386-007-042, B25-48232   , Building     , RR Residential Alteration, "REMOVE BROKEN STUCCO ON FACE OF GARAGE. REPLACE WITH PLYWOOD, PAPER, MESH. RE-STUCCO FRONT OF GARAGE ONLY "                                                                                                                                                                                                                                                                                                                  , $500          , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Owner-Builder
"6036 Camellia Avenue, Temple City, California 91780"                , 5385-018-022, E25-48217   , Electrical   ,                          , MAIN PANEL UPGRADE TO 200 AMP                                                                                                                                                                                                                                                                                                                                                                                                 , $0            , Issued       , 1/6/2025        , 1/7/2025  , 1/7/2026   ,           , "Calgreen Energy Solutions, Inc. "
"9202 Live Oak Avenue, Temple City, California 91780"                , 8588-001-010, E25-48223   , Electrical   ,                          , 200 AMP MAIN PANEL UPGRADE AND EV CHARGE  NEMA 14-50 INDOOR OUTLET ON GARAGE                                                                                                                                                                                                                                                                                                                                                  , $0            , Finaled      , 1/6/2025        , 1/7/2025  , 1/7/2026   , 1/9/2025  , MJ Electrical Services
"5922 Encinita Avenue Unit A-B , Temple City, California 91780"      , 8587-001-016, E25-48230   , Electrical   ,                          , ELECTRICAL FOR NEW (2) UNITS 3-STORY APARTMENTS WITH A (2) 200 AMP SERVICE PANEL FOR EACH UNIT                                                                                                                                                                                                                                                                                                                                , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Tan Construction
"5922 Encinita Avenue Unit C-D, Temple City, California 91780"       , 8587-001-016, E25-48231   , Electrical   ,                          , ELECTRICAL FOR NEW (2) UNITS 3-STORY APARTMENTS WITH A (2) 200 AMP SERVICE PANEL FOR EACH UNIT                                                                                                                                                                                                                                                                                                                                , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Tan Construction
"8641 Garibaldi Avenue, San Gabriel, California 91775"               , 5386-007-042, E25-48233   , Electrical   ,                          , "INSTALL LIGHT, AC POWER & SWITCH FOR HEATING UNIT IN DEDICATED 20 AMP ATTIC + 30 AMP DEDICATED SERVICE EXTERIOR FOR A C COMPRESSOR "                                                                                                                                                                                                                                                                                         , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Owner-Builder
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, E25-48234   , Electrical   ,                          , ELECTRICAL FOR A NEW SINGLE FAMILY DWELLING WITH A 200 AMP SERVICE PANEL AND SUB-PANEL 200 AMP                                                                                                                                                                                                                                                                                                                                , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, E25-48235   , Electrical   ,                          , ELECTRICAL FOR A NEW DETACHED 3-CAR GARAGE                                                                                                                                                                                                                                                                                                                                                                                    , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, E25-48238   , Electrical   ,                          , TEMPORARY POWER POLE                                                                                                                                                                                                                                                                                                                                                                                                          , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"4801 Rio Hondo Avenue, Temple City, California 91780"               , 8590-029-026, M25-48228   , Mechanical   ,                          , "REPLACE DUAL WALL FURNACE IN LIVING ROOM, LIKE FOR LIKE "                                                                                                                                                                                                                                                                                                                                                                    , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Free Energy Savings Co. dba Quality Conservation Services Inc.
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, M25-48236   , Mechanical   ,                          , "INSTALL (2) HVAC SYSTEM, AIR INLETS AND VENTILATION FANS FOR A NEW SINGLE FAMILY DWELLING UNIT "                                                                                                                                                                                                                                                                                                                             , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"9510 Olive Street, Temple City, California 91780"                   , 8590-005-001, P25-48237   , Plumbing     ,                          , PLUMBING FOR A NEW SINGLE FAMILY DWELLING AND CONNECT TO PUBLIC SEWER                                                                                                                                                                                                                                                                                                                                                         , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , PSM Superior Construction Inc.
"9647 Garibaldi Avenue, Temple City, California 91780"               , 5385-017-021, P25-48239   , Plumbing     ,                          , INSTALL NEW GAS LINE                                                                                                                                                                                                                                                                                                                                                                                                          , $0            , Issued       , 1/7/2025        , 1/7/2025  , 1/7/2026   ,           , Owner-Builder
"6044 Loma Avenue Unit A , Temple City, California 91780"            , 5384-013-011, B25-48226   , Building     , FS Fire Sprinkler        , INSTALL FIRE SPRINKLER SYSTEM FOR A NEW SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                , "$7,000 "     , Issued       , 1/7/2025        , 1/8/2025  , 1/8/2026   ,           , Specialized Fire Protection Inc.
"6044 Loma Avenue Unit B , Temple City, California 91780"            , 5384-013-011, B25-48227   , Building     , FS Fire Sprinkler        , INSTALL FIRE SPRINKLER SYSTEM FOR A NEW DETACHED ACCESSORY DWELLING UNIT                                                                                                                                                                                                                                                                                                                                                      , "$2,000 "     , Issued       , 1/7/2025        , 1/8/2025  , 1/8/2026   ,           , Specialized Fire Protection Inc.
"6229 Encinita Avenue, Temple City, California 91780"                , 5384-011-021, B25-48250   , Building     , RR Residential Alteration, FRONT HOUSE EAST SIDE EXISTING SIDING CHANGE TO STUCCO                                                                                                                                                                                                                                                                                                                                                                        , "$1,200 "     , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Owner-Builder
"5957 Agnes Avenue, Temple City, California 91780"                   , 8587-026-001, B25-48253   , Building     , OT Other                 , "TO COMPLETE WORK STARTED UNDER PERMIT # B17-34842 TO (A) NEW FRONT PORCH 6'-8"" X 10"" - 7"" (B) RELOCATE FRONT DOORS (C) REMODEL 26 SQ.FT. OF WARDROBE CLOSET (D) 19 WINDOWS REPLACEMENT "                                                                                                                                                                                                                                  , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Owner-Builder
"6027 Ivar Avenue, Temple City, California 91780"                    , 5386-011-067, B25-48254   , Building     , RR Residential Alteration, BATHROOM REMODEL                                                                                                                                                                                                                                                                                                                                                                                                              , "$16,000 "    , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Solid Construction Group LLC dba Elegant Kitchen & Bath
"5039 Fratus Drive, Temple City, California 91780"                   , 8590-031-017, B25-48258   , Building     , CB Combo Building        , NEW ROOF MOUNT 5.2 KW DC PV SOLAR SYSTEM                                                                                                                                                                                                                                                                                                                                                                                      , $0            , Finaled      , 1/8/2025        , 1/8/2025  , 1/8/2026   , 1/15/2025 , Pacific Lights International
"6027 Ivar Avenue, Temple City, California 91780"                    , 5386-011-067, E25-48255   , Electrical   ,                          , "BATHROOM REMODEL UPDATE (2) SWITCHES, (1) GFI AND (1) EXHAUST FAN "                                                                                                                                                                                                                                                                                                                                                          , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Solid Construction Group LLC dba Elegant Kitchen & Bath
"5039 Fratus Drive, Temple City, California 91780"                   , 8590-031-017, E25-48259   , Electrical   ,                          , MAIN SERVICE PANEL UPGRADE                                                                                                                                                                                                                                                                                                                                                                                                    , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Pacific Lights International
"4819 Heleo Avenue, Temple City, California 91780"                   , 8590-024-022, M25-48252   , Mechanical   ,                          , CHANGE OUT (1) HEAT PUMP CONDENSER OUTDOOR & (1) AIR HANDLER INDOOR ATTIC AND INSTALL (6) DUCT RUNS                                                                                                                                                                                                                                                                                                                           , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Prodigy Plumbing Inc.
"6027 Ivar Avenue, Temple City, California 91780"                    , 5386-011-067, M25-48256   , Mechanical   ,                          , BATHROOM REMODEL (1) VENTILATION FAN                                                                                                                                                                                                                                                                                                                                                                                          , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Solid Construction Group LLC dba Elegant Kitchen & Bath
"6334 Trelawney Avenue, Temple City, California 91780"               , 5382-022-069, P25-48251   , Plumbing     ,                          , REDRAINS OF (2) BATHROOMS & KITCHEN. REPLACE (7) DRIANS                                                                                                                                                                                                                                                                                                                                                                       , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Reliance Home Services dba Adeedo
"6027 Ivar Avenue, Temple City, California 91780"                    , 5386-011-067, P25-48257   , Plumbing     ,                          , "BATHROOM REMODEL - CONVERT BATHTUB TO STAND UP SHOWER, LAVATORIE AND WATER CLOSET "                                                                                                                                                                                                                                                                                                                                          , $0            , Issued       , 1/8/2025        , 1/8/2025  , 1/8/2026   ,           , Solid Construction Group LLC dba Elegant Kitchen & Bath
"5405 Golden West Avenue, Temple City, California 91780"             , 8588-020-023, B25-48262   , Building     , RR Residential Alteration, "REMOVE EXISTING COMPOSITION SHINGLE ON HOUSE AND ATTACHED GARAGE. INSTALL NEW ""GAF"" HDZRS COMPOSITION SHINGLE CLASS ""A""  COOL ROOF 35 SQ'S "                                                                                                                                                                                                                                                                             , "$20,000 "    , Finaled      , 1/9/2025        , 1/9/2025  , 1/9/2026   , 1/16/2025 , Adora-Bilt-Homes
"5600 Gracewood Avenue, Arcadia, California 91007"                   , 8586-015-038, B25-48263   , Building     , CR Commercial Alteration , "ROOF REPAIR PLYWOOD, PAPER AND SHINGLES "                                                                                                                                                                                                                                                                                                                                                                                    , "$2,200 "     , Finaled      , 1/9/2025        , 1/9/2025  , 1/9/2026   , 1/13/2025 , Delta 4 Environmental Inc.
"5319 Cloverly Avenue, Temple City, California 91780"                , 8590-004-011, P25-48261   , Plumbing     ,                          , "1"" REPLACE GAS LINE FORT OF HOUSE TO METER "                                                                                                                                                                                                                                                                                                                                                                                , $0            , Finaled      , 1/9/2025        , 1/9/2025  , 1/9/2026   , 1/10/2025 , B X D Construction Inc.
"4902 Baldwin Avenue, Temple City, California 91780"                 , 8585-009-024, B24-47834   , Building     , OT Other                 , CONVERT EXISTING ACCESSORY STRUCTURE INTO DETACHED 2-CAR GARAGE/STORAGE                                                                                                                                                                                                                                                                                                                                                       , "$57,771 "    , Issued       , 10/31/2024      , 1/13/2025 , 1/13/2026  ,           , Owner-Builder
"6126 Loma Avenue, Temple City, California 91780"                    , 5384-012-006, B25-48267   , Building     , RR Residential Alteration, VOLUNTARY SEISMIC UPGRADE PER LA CITY STANDARD #7                                                                                                                                                                                                                                                                                                                                                                             , "$2,500 "     , Issued       , 1/13/2025       , 1/13/2025 , 1/13/2026  ,           , Greg Sylvis General Contractor Inc.
"5241 Halifax Road, Temple City, California 91780"                   , 8585-019-029, B25-48268   , Building     , RR Residential Alteration, TEAR OFF 18 SQ.FT. COMP TO COMP 6 SQ'S FLAT TO FLAT HOUSE AND ATTACHED GARAGE                                                                                                                                                                                                                                                                                                                                                 , "$8,000 "     , Finaled      , 1/13/2025       , 1/13/2025 , 1/13/2026  , 1/21/2025 , CAP Inc. dba Journey Builders
"5827 Oak Avenue, Temple City, California 91780"                     , 8587-006-007, B25-48270   , Building     , RR Residential Alteration, TEAR OFF AND REROOF 33 SQ'S WITH COMP SHINGLES 1-STORY BACK HOUSE                                                                                                                                                                                                                                                                                                                                                             , "$16,000 "    , Issued       , 1/13/2025       , 1/13/2025 , 1/13/2026  ,           , Ida Development Inc. dba Rescue Roofing Construction
"5643 Loma Avenue, Temple City, California 91780"                    , 5387-022-015, B25-48271   , Building     , RR Residential Alteration, SHINGLES ROOF REPLACEMENT OF 18 SQ.FT. ON MAIN HOUSE TEAR OFF REPLACE WOOD AS NEEDED CRRC # 0676-0096                                                                                                                                                                                                                                                                                                                         , "$10,000 "    , Finaled      , 1/13/2025       , 1/13/2025 , 1/13/2026  , 1/27/2025 , Epic Home Upgrade and Construction dba Epic Roof Replacement
"5643 Loma Avenue, Temple City, California 91780"                    , 5387-022-015, B25-48272   , Building     , OT Other                 , SHINGLES ROOF REPLACEMENT OF 6 SQ.FT. ON DETACHED GARAGE TEAR OFF REPLACE WOOD AS NEEDED CRRC # 0676-0096                                                                                                                                                                                                                                                                                                                     , "$5,000 "     , Finaled      , 1/13/2025       , 1/13/2025 , 1/13/2026  , 1/27/2025 , Epic Home Upgrade and Construction dba Epic Roof Replacement
"8616 Garibaldi Avenue Unit B , San Gabriel, California 91775"       , 5386-014-073, B25-48273   , Building     , OT Other                 , ADD 160 SQ.FT. SUNROOM  AT REAR OF ADU                                                                                                                                                                                                                                                                                                                                                                                        , "$20,000 "    , Issued       , 1/13/2025       , 1/13/2025 , 1/13/2026  ,           , Vision Sunrooms and Patio Covers
"6201 Temple City Boulevard Unit A-B , Temple City, California 91780", 5385-011-009, B25-48275   , Building     , RR Residential Alteration, TEAR OFF EXISTING ROOF AND REROOF TO NEW COMPOSITION SHINGLES                                                                                                                                                                                                                                                                                                                                                                 , "$11,500 "    , Issued       , 1/13/2025       , 1/13/2025 , 1/13/2026  ,           , Royalty Roofing Inc.
"6203 Temple City Boulevard Unit A-B , Temple City, California 91780", 5385-011-009, B25-48276   , Building     , RR Residential Alteration, TEAR OFF EXISTING ROOF AND REROOF TO NEW COMPOSITION SHINGLES                                                                                                                                                                                                                                                                                                                                                                 , "$11,500 "    , Issued       , 1/13/2025       , 1/13/2025 , 1/13/2026  ,           , Royalty Roofing Inc.
"6205 Temple City Boulevard Unit A-B , Temple City, California 91780", 5385-011-009, B25-48277   , Building     , RR Residential Alteration, TEAR OFF EXISTING ROOF AND REROOF TO NEW COMPOSITION SHINGLES                                                                                                                                                                                                                                                                                                                                                                 , "$11,500 "    , Issued       , 1/13/2025       , 1/13/2025 , 1/13/2026  ,           , Royalty Roofing Inc.
